subject,seed_dir,control,metric,k,value,k80,k90,k95,original_heldout_event_nll,reconstructed_heldout_event_nll,nll_loss
epilepsiae_253,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999982,3,4,5,1.5877046598951676,1.5877046677177662,7.822598568907324e-09
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.33673129258707,1,2,3,1.676472692570147,,
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,3,1.676472692570147,1.7934404452158241,0.11696775264567716
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.8445619028399787,1,2,3,1.676472692570147,1.679175573450387,0.002702880880240066
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9202627100107261,1,2,3,1.676472692570147,1.680231185384995,0.003758492814847969
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9787070841639275,1,2,3,1.676472692570147,1.6798185940225454,0.0033459014523984365
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9960946617251865,1,2,3,1.676472692570147,1.676313672230719,-0.00015902033942793992
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9996331808633008,1,2,3,1.676472692570147,1.6764590182711439,-1.3674299003119117e-05
epilepsiae_253,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999987,1,2,3,1.676472692570147,1.6764726970105948,4.440447787246171e-09
epilepsiae_384,seed_20260725,full_history_gru,pca_inventory,-1,2.2976586348360253,3,3,4,1.7712482598429942,,
epilepsiae_384,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,3,3,4,1.7712482598429942,1.7643911128114038,-0.006857147031590349
epilepsiae_384,seed_20260725,full_history_gru,pca_reconstruction,1,0.5999975212322664,3,3,4,1.7712482598429942,1.8158321263391357,0.044583866496141544
epilepsiae_384,seed_20260725,full_history_gru,pca_reconstruction,2,0.7834513466024977,3,3,4,1.7712482598429942,1.7955385033775997,0.024290243534605516
epilepsiae_384,seed_20260725,full_history_gru,pca_reconstruction,4,0.9576517981873474,3,3,4,1.7712482598429942,1.7755010281701014,0.0042527683271071925
